gene	tvar	CAP_PKB	CAP_PKB_male	CAP_PKB_female	CAP_PKB_afr	CAP_PKB_afr_male	CAP_PKB_afr_female	CAP_PKB_amr	CAP_PKB_amr_male	CAP_PKB_amr_female	CAP_PKB_fin	CAP_PKB_fin_male	CAP_PKB_fin_female	CAP_PKB_asj	CAP_PKB_asj_male	CAP_PKB_asj_female	CAP_PKB_nfe	CAP_PKB_nfe_male	CAP_PKB_nfe_female	CAP_PKB_eas	CAP_PKB_eas_male	CAP_PKB_eas_female	CAP_PKB_sas	CAP_PKB_sas_male	CAP_PKB_sas_female	nvar	nvar_male	nvar_female	nvar_afr	nvar_afr_male	nvar_afr_female	nvar_amr	nvar_amr_male	nvar_amr_female	nvar_fin	nvar_fin_male	nvar_fin_female	nvar_asj	nvar_asj_male	nvar_asj_female	nvar_nfe	nvar_nfe_male	nvar_nfe_female	nvar_eas	nvar_eas_male	nvar_eas_female	nvar_sas	nvar_sas_male	nvar_sas_female
FCGR2A	1116	0.979220114468588	0.978000230854987	0.980582378207648	0.991344181456952	0.991157771088195	0.991457032311711	0.987358009531118	0.986771966836008	0.987758856859993	0.982118819388853	0.981896330890942	0.98235811972225	0.955647078569996	0.954942001478673	0.956382651029199	0.983740524029908	0.983409017539672	0.984152819952293	0.906516808668583	0.907079883718639	0.905965117497212	0.960615120409183	0.961253701572561	0.958606837527258	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
FGFR4	1453	0.547220393679	0.544686796639	0.550209799104	0.244239270975	0.235090582719	0.24987079	0.664126433884	0.655295976775	0.670300101975	0.543926689776	0.538165586944	0.550157485791	0.53691975	0.519690014064	0.554908208896	0.5116366311	0.510485679591	0.513110049375	0.697029016816	0.690837311424	0.703016418556	0.580149134319	0.582210994044	0.573809074111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FLT4	2267	0.294768178572804	0.30201923566084	0.286113838224449	0.150230966389946	0.147292839945558	0.152042043396887	0.18284078142034	0.201461001356108	0.169484455956407	0.32119302759263	0.316107678042735	0.326703959417171	0.360338466393718	0.367416063907451	0.352745241715425	0.386922884178601	0.385306137603023	0.388999717841629	0.00250538233685615	0.00154666239835877	0.00343791886631128	0.238248884655173	0.238614292706721	0.237136027547348	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GGCX	1391	0.795159457790659	0.789845240654692	0.801298473222404	0.946750745743745	0.949273842179705	0.945147054793576	0.646360149125183	0.656197389037917	0.639274591769219	0.831890636590108	0.837403092373607	0.825719782078058	0.731495780261991	0.73095416245688	0.732080290312587	0.841291849660562	0.839810937817596	0.843175216139604	0.785421779495613	0.790096454473347	0.780801494325053	0.560715417151919	0.572417904717657	0.523327083411382	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	4	4	4
GLA	326	3.27096536548721e-05	0	5.19230464283149e-05	0	0	0	0	0	0	0	0	0	0	0	0	7.32750612547628e-05	0	0.000119656629533615	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
GRIN2B	1198	0.532569351279	0.537772703871	0.526406911239	0.18833144159775	0.18836711789511	0.18830945884231	0.549392559471	0.543936144375	0.5532280719	0.605868415599	0.600350976316	0.611813681884	0.554849497584	0.556842178599	0.552735986716	0.468658139376	0.466334685424	0.471603305719	0.772005209856	0.775562832496	0.768519696624	0.660421085244	0.6523482556	0.684525687759	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GSTP1	404	0.999772753141024	0.999699280529908	0.999837954147609	0.999993188442179	0.999990403673941	0.999994590661625	0.999999575529718	0.999999473348376	0.999999636031153	0.998493484627815	0.998621697022172	0.998340249264518	0.992257120419174	0.992250257751546	0.992264294208063	0.999739816998887	0.999728544841277	0.999753516157637	0.979822637694032	0.981854632552311	0.977646642915487	0.999002115563263	0.999006985549617	0.998987036816426	2	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
HIF1A	901	0.16840574365959	0.17700648533799	0.15823283504631	0.07127132378751	0.0714220412437501	0.0711788057363099	0.12191349626871	0.12540937677975	0.11943959742876	0.07637290255296	0.07585059133639	0.07694079885591	0.297150833679	0.292841780671	0.301694091391	0.200890942959	0.204503687164	0.196296714975	0.0838449258319901	0.0867168313777501	0.0810492293913599	0.209321581599	0.211759666759	0.201841800391	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HNF4A	897	0.00349893399899992	0.0023738095824879	0.00484938656403033	0.0496953580055101	0.04561578590919	0.05224187027631	0.002507246455552	0.00257861553878047	0.00245624985394555	0	0	0	0	0	0	1.94053258574245e-05	3.4110709109858e-05	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
IGFBP3	441	0.618593708439	0.626368547484	0.607711983759	0.524232521919	0.5279622975	0.5215372759	0.412736798439	0.417519654384	0.409418508951	0.616500951471	0.632874283719	0.601538587356	0.734665808764	0.743424319911	0.723598503879	0.665219725596	0.6684313276	0.660650643631	0.952688964879	0.952991689404	0.952387887196	0.579146792176	0.576366941359	0.590487035376	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
